text,neutral,positive,negative,narrator,y
"Τη μάνητα, θεά, τραγούδα μας του ξακουστού Αχιλλέα,",0.375,0.5,0.125,0.0,"[0.375, 0.5, 0.125, 0.0]"
"ανάθεμα τη, πίκρες που 'δωκε στους Αχαιούς περίσσιες",0.125,0.25,0.625,0.0,"[0.125, 0.25, 0.625, 0.0]"
και πλήθος αντρειωμένες έστειλε ψυχές στον Άδη κάτω,0.0,0.125,0.875,0.0,"[0.0, 0.125, 0.875, 0.0]"
"παλικαριών, στους σκύλους ρίχνοντας να φάνε τα κορμιά τους",0.0,0.125,0.875,0.0,"[0.0, 0.125, 0.875, 0.0]"
και στα όρνια ολούθε —έτσι το θέλησε να γίνει τότε ο Δίας—,0.5,0.125,0.375,0.0,"[0.5, 0.125, 0.375, 0.0]"
"απ᾿ τη στιγμή που πρωτοπιάστηκαν και χώρισαν οι δυο τους,",0.375,0.125,0.5,0.0,"[0.375, 0.125, 0.5, 0.0]"
του Ατρέα ο γιος ο στρατοκράτορας κι ο μέγας Αχιλλέας.,0.25,0.5,0.25,0.0,"[0.25, 0.5, 0.25, 0.0]"
Ποιος τάχα απ᾿ τους θεούς τους έσπρωξε να μπούνε σ᾿ έτοια αμάχη;,0.0,0.0,0.0,1.0,"[0.0, 0.0, 0.0, 1.0]"
"Του Δία και της Λητώς τους έσπρωξεν ο γιος, που με το ρήγα",0.75,0.125,0.0,0.125,"[0.75, 0.125, 0.0, 0.125]"
χολιάζοντας κακιά εξεσήκωσεν αρρώστια και πέθαιναν,0.0,0.125,0.875,0.0,"[0.0, 0.125, 0.875, 0.0]"
"στρατός πολύς᾿ τι δε σεβάστηκεν ο γιος του Ατρέα το Χρύση,",0.5,0.0,0.5,0.0,"[0.5, 0.0, 0.5, 0.0]"
του θεού το λειτουργό· στ᾿ Αργίτικα γοργά καράβια είχε έρθει,0.75,0.125,0.0,0.125,"[0.75, 0.125, 0.0, 0.125]"
"με λύτρα αρίφνητα, την κόρη του να ξαγοράσει πίσω,",0.125,0.5,0.375,0.0,"[0.125, 0.5, 0.375, 0.0]"
του μακροσαγιτάρη Απόλλωνα κρατώντας τα στεφάνια,0.5,0.375,0.0,0.125,"[0.5, 0.375, 0.0, 0.125]"
"πα στο χρυσό ραβδί, και πρόσπεφτε μπρος στους Αργίτες όλους,",0.25,0.5,0.25,0.0,"[0.25, 0.5, 0.25, 0.0]"
ξεχωριστά στους δυο πολέμαρχους υγιούς του Ατρέα γυρνώντας:,0.625,0.25,0.125,0.0,"[0.625, 0.25, 0.125, 0.0]"
"« Του Ατρέα βλαστάρια κι αποδέλοιποι καλαντρειωμένοι Αργίτες,",0.25,0.5,0.25,0.0,"[0.25, 0.5, 0.25, 0.0]"
σε σας οι θεοί που ζουν στον Όλυμπο να δώσουν να πατήστε,0.375,0.5,0.0,0.125,"[0.375, 0.5, 0.0, 0.125]"
